label,old_name,new_name,tag,filtered_tags
not_an_issue,,NUTRA-FINITY,name,"{""addr:housenumber"":""839"",""addr:street"":""D. Romualdez Senior Street"",""building"":""industrial""}"
not_an_issue,Title for an information board. ,Middle Ages: throw it in the pot,name:en,"{""board_type"":""history"",""information"":""board"",""language:de"":""yes"",""language:en"":""yes"",""language:fr"":""yes"",""language:nl"":""yes"",""name"":""Middeleeuwen: gooi maar in de pot - Le Moyen Âge : tout dans le même pot - Middle Ages: throw it in the pot - Mittelalter: alles in einen Topf"",""name:de"":""Mittelalter: alles in einen Topf"",""name:fr"":""Le Moyen Âge : tout dans le même pot"",""name:nl"":""Middeleeuwen: gooi maar in de pot"",""operator"":""Agentschap Plantentuin Meise"",""tourism"":""information""}"
not_an_issue,,"Arquitectura Expandida's ""Urban Negotiation""",name,"{""operator"":""Public Art Abu Dhabi Biennial"",""tourism"":""attraction""}"
vandalism,Khalid Autos jail chowrangi,Khalid Autos jail chowrangi,name,"{""addr:city"":""karachi"",""addr:street"":""W22W+2JF, Hyderabad Colony"",""shop"":""car_repair""}"
vandalism,,Conner store,name,"{""building"":""retail""}"
vandalism,,kushal's house,name,"{""building"":""yes""}"
vandalism,M.j bags shop jama clothe market,M.j bags shop jama clothe market,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V257+HW6"",""addr:street"":"", Aram Bagh"",""amenity"":""marketplace""}"
vandalism,Zainab Hussain Driving School Ladies &gents,Zainab Hussain Driving School Ladies &gents,name,"{""addr:city"":""Karachi"",""addr:street"":""W2MW+HRP, near bank Al.Habib, Block G North Nazimabad Town, Haderi"",""amenity"":""driving_school""}"
vandalism,,PCH09A,name,"{""amenity"":""casino""}"
vandalism,,look and see,name,"{""amenity"":""theatre""}"
not_an_issue,,versus,name,"{""amenity"":""nightclub""}"
not_an_issue,,B block gosh market road,name,"{""highway"":""service""}"
vandalism,Khalid jump autos,Khalid jump autos,name,"{""addr:city"":""کراچی"",""addr:street"":""V268+VQF, Shivram Dewan Mal Rd, Bohrapir Boharpir"",""shop"":""yes""}"
vandalism,Atif Altaf - Shoe Manufacturer - SANA FOOTWEAR,Atif Altaf - Shoe Manufacturer - SANA FOOTWEAR,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V278+4R"",""addr:street"":""Mohn, Karachi,"",""phone"":""03242551135"",""shop"":""shoes""}"
vandalism,9TRAVEL & TOURS PVT LTD PAKISTAN,9TRAVEL & TOURS PVT LTD PAKISTAN,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2GM+FRG"",""addr:street"":""Britto Rd, Garden East Parsi Colony Saddar"",""shop"":""travel_agency""}"
vandalism,The Best Motor Training Institute - No.1 Driving School In Karachi,The Best Motor Training Institute - No.1 Driving School In Karachi,name,"{""addr:city"":""Karachi"",""addr:street"":""The Best Motor Training Institute - No.1 Driving School"",""amenity"":""driving_school""}"
vandalism,New Rajoo Bearing - AIR Traders,New Rajoo Bearing - AIR Traders,name,"{""addr:city"":""Karachi"",""addr:housenumber"":""V2FC+PP"",""addr:street"":""Fikree Building Garden, Millat Nagar Hashim Khan Haq Nagri,"",""phone"":""02132250584"",""shop"":""yes""}"
vandalism,AL HUFFAZ TRADERS,AL HUFFAZ TRADERS,name,"{""addr:city"":""karachi"",""addr:street"":""V2JV+PCQ, Jamshed Rd Number 1, Jamshed Quarters"",""shop"":""yes""}"
not_an_issue,,The Boat Project/everythingwillbefine,name,"{""artist_name"":""Ernest Daetwyler"",""artwork_type"":""sculpture"",""material"":""wood"",""tourism"":""artwork""}"
not_an_issue,,PUNCH,name,"{""shop"":""clothes""}"
not_an_issue,M. 51,M. 51 BUHARI BIN BOHAN,name,"{""alt_name"":""BUHARI BIN BOHAN"",""natural"":""heath""}"
not_an_issue,New Apartment,Fagela's Apartment,name,"{""addr:street"":""Jose Abad Santos Avenue"",""tourism"":""apartment""}"
vandalism,,rr,name,"{""addr:city"":""Niedernberg"",""addr:housenumber"":""4"",""addr:postcode"":""63843"",""addr:street"":""Hansaring"",""leisure"":""park"",""opening_hours"":""Mo-Fr 09:00-18:00"",""operator"":""rr""}"
vandalism,,Al Jannat bun kabab | Burns road famous,name,"{""addr:city"":""Karachi"",""addr:street"":""V3P2+843, Jamshed Rd, Jamshed Quarters Clayton Quarters,"",""amenity"":""restaurant""}"
vandalism,,"Shoes (don't pay, scam!)",name,"{""shop"":""ticket""}"
vandalism,Southeast 49th Street,Boujee Bikes - Electric Bike Rentals,name,"{""highway"":""residential"",""maxspeed"":""25 mph"",""tiger:cfcc"":""A41"",""tiger:county"":""Brunswick, NC"",""tiger:name_base"":""49th"",""tiger:name_direction_prefix"":""SE"",""tiger:name_type"":""St"",""tiger:reviewed"":""no""}"
vandalism,,THE FOREST LOOKS LIKE A FISH,name,"{""natural"":""wood""}"
